id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
317;303;;15,48;6005;10810;193207;994;8034;1770;0;95;1927;1020;1362;1315;0;
318;304;;16,09;10696;6414;189192;2112;8797;11681;0;357;2097;1491;1294;651;0;
319;305;;19,89;8751;26476;79701;69491;10988;11562;133;7;102;88;193;6540;0;
320;306;;9,69;7851;2685;146864;6765;1649;979;0;688;513;725;1087;950;0;
321;307;;11,61;2936;9739;123952;764;6388;7000;0;383;87;453;420;1357;0;
322;308;;11,79;2559;2216;111614;1079;2586;212;0;172;897;924;757;852;0;
323;309;;12,45;3121;8558;115070;1099;4759;1773;0;232;818;462;685;1215;0;
324;310;;12,61;2596;3077;118674;540;1862;291;0;70;823;1011;954;1943;0;
325;311;;12,41;14896;8400;120480;1341;40426;3904;0;69;899;1226;972;328;0;
326;312;;4,58;43159;18231;319161;44295;44016;15930;224;354;2213;362;245;1546;10741;39,78
327;313;;5,37;2922;17158;205998;5226;18622;2148;628;320;1261;248;225;3304;275;43,99
328;314;;5,6;14861;29600;135021;116198;33098;23755;0;21;859;972;940;3024;3494;38,41
329;315;;5,92;6929;1983;213890;8959;8044;3376;273;1164;661;364;41;93;0;47,32
330;316;;6,17;15248;10086;200340;42613;10596;10991;0;613;1141;200;965;2021;0;33,96
331;317;;6,55;17487;18729;339089;16016;15518;6817;181;1156;1372;509;1070;3190;0;38,80
332;318;;6,81;25055;20940;181445;230684;75877;13172;0;308;1192;158;427;3613;0;36,41
333;319;;7,26;16152;8483;220246;40052;8665;10825;0;85;2038;373;774;450;0;33,11
334;320;;7,49;23121;24548;234889;36035;15326;16404;0;708;923;630;878;3568;0;37,12
335;321;;7,95;42765;3437;430382;23775;27803;18047;0;736;1895;2846;553;2253;0;33,16
336;322;;4,68;29342;5761;110161;97059;28768;40758;0;170;733;155;426;856;0;45,62
337;323;;7,76;5350;652;74701;9993;3149;2181;0;24;199;429;374;0;0;
338;324;;8,34;11607;4422;118614;22728;5807;4760;0;39;661;420;691;985;0;
339;325;;8,42;23046;5082;161923;30671;9518;7836;165;434;260;386;196;697;0;28,84
340;326;;9,06;53137;25655;397939;74041;30857;12649;0;656;1803;1720;858;2931;0;34,50
341;327;;9,07;21564;3931;232395;15399;23906;12724;307;262;931;1530;767;2196;0;
342;328;;9,84;26545;7524;234809;79455;15541;12277;0;177;505;1094;1585;2166;0;
343;329;;10,32;20985;19443;201860;17013;10050;3838;154;81;568;449;158;1606;0;32,26
344;330;;10,37;12124;17307;160168;15203;7409;1203;0;43;752;609;290;3387;0;
345;331;;10,46;17152;11770;189420;29083;17197;16612;0;536;1002;1265;154;2477;0;
346;332;;11,19;8781;13948;48937;5560;8288;537;0;116;202;197;159;3707;0;18,58
347;333;;11,25;19198;42725;160427;21290;61929;16484;0;132;903;1228;696;4239;0;33,12
348;334;;11,74;10230;7751;102880;10683;6717;329;0;364;935;2;909;2281;0;27,36
349;335;;11,54;4557;5250;59236;17571;5759;1376;0;347;8;268;11;538;0;
350;336;;12,83;24800;34542;135442;17125;6995;15615;104;266;774;373;29;2948;0;
351;337;;15,29;8689;3896;49831;7233;3538;6923;30;844;333;180;1537;720;0;
352;338;;13,76;3919;3548;78081;7375;1410;946;0;236;595;351;672;520;0;
353;339;;13,92;10107;5587;186906;7255;5265;611;0;122;822;1150;1604;1916;0;
354;340;;14,33;13943;1583;210819;5964;2682;1107;130;72;731;1134;1179;1252;0;24,83
355;341;;14,5;3563;9967;112954;927;2826;704;132;189;175;786;870;4107;0;
356;342;;14,91;3756;14861;130939;3828;1749;1329;0;137;660;497;1044;1545;0;
357;343;;15,43;9877;16624;418147;4920;4262;4489;0;423;3234;3944;2804;5005;0;
358;344;;15,49;6494;8196;205745;5707;4396;738;0;438;1901;639;364;3159;0;
359;345;;12,28;5275;5685;167557;7401;2226;1198;0;176;812;472;1027;1166;0;
360;346;;5,19;8596;4844;211594;8505;2619;2544;0;690;531;697;530;556;0;
361;347;;4,59;4090;1594;121128;4379;1612;3979;0;36;920;338;364;135;0;
362;348;;5,36;4305;1588;141517;3564;4675;1841;0;16;694;5;320;511;0;
363;349;;5,92;4614;2680;223796;789;4501;2338;0;104;1065;1746;630;483;0;
364;350;;6,37;8675;4261;164424;8548;5619;2098;407;139;241;413;260;741;0;
365;351;;6,92;18823;1352;111297;2948;7098;22255;60;245;273;606;63;166;0;
366;352;;7,51;2517;11234;99442;871;1780;1397;0;26;333;465;15;1097;0;
367;353;;7,55;5681;16400;182643;2431;7380;12357;0;385;571;2090;1152;2110;0;
368;354;;8,26;6053;5290;170101;2090;5096;2783;0;581;300;1382;258;544;0;
369;355;;8,78;3114;6875;152727;1957;3479;3229;0;241;872;753;503;1993;0;
